workload_name,txn_id,timestamp_ns,initiator_id,command,address,size_bytes,pc,symbol,source
gem5_stride_scan,1,0,101,READ,0x00000000,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,2,100,101,READ,0x00000010,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,3,200,101,READ,0x00000020,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,4,300,101,READ,0x00000030,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,5,400,101,READ,0x00000040,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,6,500,101,READ,0x00000050,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,7,600,101,READ,0x00000060,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,8,700,101,READ,0x00000070,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,9,800,101,READ,0x00000080,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,10,900,101,READ,0x00000090,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,11,1000,101,READ,0x000000A0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,12,1100,101,READ,0x000000B0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,13,1200,101,READ,0x000000C0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,14,1300,101,READ,0x000000D0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,15,1400,101,READ,0x000000E0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,16,1500,101,READ,0x000000F0,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,17,1600,101,READ,0x00000100,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,18,1700,101,READ,0x00000110,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,19,1800,101,READ,0x00000120,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,20,1900,101,READ,0x00000130,4,0x0,stride_scan,gem5_se_simout
gem5_stride_scan,21,2000,101,READ,0x00000140,4,0x0,stride_scan,gem5_se_simout
